"","Coauthor","Paper","Journal","AuthorID","PaperID"
"11","RiccardoBettati","Dynamic Resource Allocation Migration for Multiparty Real-Time Communications ","ICDCS International Conference Distributed Computing Systems",11,11
"12","DomenicoFerrari;MarkMoran;QuyenNguyen;RajendraYavatkar;RiccardoBettati;WHeffner;WingwaiHowe","Connection Establishment for Multi-Party Real-Time Communication ","NOSSDAV Network and Operating System Support for Digital Audio and Video",11,12
"13","DomenicoFerrari;GiorgioVentre","Distributed Advance Reservation of Real-Time Connections ","NOSSDAV Network and Operating System Support for Digital Audio and Video",11,13
"14","MarkMoran;QuyenNguyen;WingwaiHowe","Resource Sharing for Multi-Party Real-Time Communication ","INFOCOM The Conference Computer Communications",11,14
"15","DomenicoFerrari;GiorgioVentre","Distributed Advance Reservation of Real-Time Connections ","Multimedia Syst",11,15
"16","DomenicoFerrari","Resource partitioning for real-time communication ","IEEE ACM Trans Netw",11,16
"17","KurtRothermel","Failure Recovery for Multi-Party Real-Time Communication ","ICMCS International Conference Multimedia Computing and Systems",11,17
"18","SGhosh;SVPemmaraju","A self-stabilizing algorithm for the maximum flow problem,"," th Annual IEEE International Conference Computers and Communication",12,18
"19","CMazumdar","PMM: A parallel architecture for production systems,","ACM Southeastcon",12,19
"20","CMazumdar","A partially shared parallel Rete network for faster execution of production systems,","Froniters of Knowledge Based Computing Vijay P Bhatkar and Kiran M Rege ed Narosa Publishing House",12,20
"21","NGururaj","A simulator for distributed self-stabilizing algorithms,","ADCOM International Conference Advanced Computing and Communication Bhubaneswar",12,21
"22","MEKortright;RBorie","Fast parallel algorithms for the balanced decomposition of series-parallel graphs,","Congressus Numerantium",12,22
"23","VMadhu;PSinghal","Design and implementation of a Linux-based IPv -IPv Bridge,","CIT Bhubaneswar",12,23
"24","AnimeshNandi","Estimating Link Characteristics of Internet Paths With FPathchar ","International Conference Internet Computing",12,24
"25","HSPaul;RBadrinath","Combining diverse checkpoint and recovery algorithms for distributed systems,"," rd International Workshop Distributed Computing Calcutta",12,25
"26","HSPaul;RBadrinath","Hierarchical coordinated checkpointing algorithms,","PDCS Parallel and Distributed Computing Systems IASTED International Conference Parallel and Distributed Computing and Systems",12,26
"27","HSPaul;RBadrinath","A heterogeneous checkpoint and recovery protocol,","PDPTA Parallel and Distributed Processing Techniques and Applications International Conference Parallel and Distributd Processing Techniques and Applications Las Vegas",12,27
"28","SBanerjee;ABasu","Online transcoding of web pages for mobile devices,","HCI Human Computer Interaction Udine",12,28
"29","AnupamBasu;UmeshDeshpande","Adaptive Fault Tolerant Hospital Resource Scheduling ","CoopIS DOA International Symposium Distributed Objects and Applications ODBASE International Conference Ontologies Databases and Applications of SEmantics",12,29
"30","AnupamBasu;SomnathBanerjee","Online Transcoding of Web Pages for Mobile Devices ","HCI Human Computer Interaction",12,30
"31","ABasu","Intellegent mobile agent based framework for resource discovery and transcoding,","Intelligent Computing and VLSI Very Large Scale Integration Allied Publishers",12,31
"32","RBorie","Balanced decomposition for partial-k trees,","Congressus Numerantium",12,32
"33","UDeshpande;ABasu","Coordinated problem solving through resource sharing in a distributed environment,"," IEEE Transactions Systems Man and Cybernatics",12,33
"34","UDeshpande;ABasu","A coordination mechanism for hospital resource scheduling using a multi-agent framework,"," rd International Workshop Distributed Computing Calcutta",12,34
"35","UDeshpande;ABasu","Adaptive fault tolerant hospital resource scheduling,","International Conference Cooperative Information Systems LNCS",12,35
"36","UDeshpande;ABasu","A distributed hospital resource scheduling system using a multi-agent framework,","IETE Technical Review",12,36
"37","HimadriSekharPaul;RBadrinath","A Heterogeneous Checkpoint and Recovery Protocol in Cluster-Based Distributed Systems ","PDPTA Parallel and Distributed Processing Techniques and Applications",12,37
"38","HSPaul;RBadrinath","Evaluation of different classes of checkpoint and recovery potocols iwth dPSIM,","CIT th International Conference Information Technology Gopalpur Sea",12,38
"39","HSPaul;RBadrinath","Performance comparison of checkpoint and recovery protocols,"," Concurrency and Computation Practice and Experience",12,39
"40","HSPaul;RBadrinath","Simulation and performance estimation of checkpoint and recovery protocols,","Poster presentation HPC ASIA Bangalore",12,40
"41","SriramVPemmaraju;SukumarGhosh","Fault-containing network protocols ","SAC Selected Areas Cryptography",12,41
"42","SriramVPemmaraju;SukumarGhosh;TedHerman","Fault-Containing Self-Stabilizing Algorithms ","PODC Symposium Principles of Distributed Computing",12,42
"43","SriramVPemmaraju;SukumarGhosh","A Self-Stabilizing Algorithm for the Maximum Flow Problem ","Distributed Computing",12,43
"44","SRanjan;ABasu;AMeka;AChaturvedi","Adaptive mobile agents: modeling and a case study,"," Workshop Distributed Computing Calcutta",12,44
"45","SShekhar;SBanerjee","Online transcoding of news pages for handheld devices,","International Conference Computer Sciences",12,45
"46","UDeshpande;ABasu","Performance improvement of contract net based using instance based learning,","International Workshop Distributed Computing Kolkata Proceedings Springer Verlag s LNCS series",12,46
"47","UDeshpande;ABasu","Task assignment in a collaborative system with imprecise information,","KBCS Mumbai",12,47
"48","SGhosh;SVPemmaraju","Fault-containing network protocols,","Annual ACM Symposium Applied Computing San Jose",12,48
"49","SGhosh;SVPemmaraju","A fault-containing self-stabiling spanning tree algorithm,","Journal of Computing and Information",12,49
"50","SGhosh;THerman;SVPemmaraju","Fault-containing self-stabilizing protocols,"," th Annual ACM Symposium Principles of Distributed Computing",12,50
"51","SGhosh","An exercise in fault-containment: Self-stabilizing leader election,","Information Processing Letters",12,51
"52","SGhosh;SVPemmaraju","Randomized algorithms in graph theory,","Technical Report TR Department of Computer Science The University of City",12,52
"53","SGhosh;MHKaraata;SVPemmaraju","Self-stabilizing dynamic programming algorithms on trees,"," Workshop Self Stabilizing Systems Las Vegas",12,53
"54","SGhosh;MHKaraata;SVPemmaraju","A self-stabilizing algorithm for maximal matching on trees,","Technical Report TR Department of Computer Science The University of City",12,54
"55","SGhosh;SVPemmaraju","A self-stabilizing algorithm for the maximum flow problem,","Distributed Computing",12,55
"56","Marie-PierreDubuisson-Jolly;ThomasO'Donnell","A Cooperative Framework for Segmentation Using D Active Contours and D Hybrid Models as Applied to Branching Cylindrical Structures ","ICCV International Conference Computer Vision",13,56
"57","Cheng-ChungLiang;Marie-PierreDubuisson-Jolly","Optimal Polyline Tracking for Artery Motion Compensation in Coronary Angiography ","ICCV International Conference Computer Vision",13,57
"58","TerranceEBoult;ThomasO'Donnell","A new model for the recovery of cylindrical structures from medical image data ","CVRMed",13,58
"59","BirBhanu;DavidMichael;TerranceEBoult","Introduction to the Special Issue on Innovative Applications of Computer Vision ","Mach Vis Appl",13,59
"60","TerranceEBoult;ThomasO'Donnell","Global Models with Parametric Offsets as Applied to Cardiac Motion Recovery ","CVPR Computer Vision and Pattern RecognitioN",13,60
"61","GarethFunka-Lea","The use of hybrid models to recover cardiac wall motion in tagged MR images ","CVPR Computer Vision and Pattern RecognitioN",13,61
"62","GarethFunka-Lea;RichardDWhite;SandraSimonHalliburton;ShmuelAharon;ThomasO'Donnell","Multi-Modality Model-Based Registration in the Cardiac Domain ","CVPR Computer Vision and Pattern RecognitioN",13,62
"63","JeremyPChew","Fairness performance of dynamic weights in the ATM ABR service ","Perform Eval",14,63
"64","JeremyPChew","Improving Fairness of Long VCs Using Active Fairness in the ATM ABR Service ","ICC International Conference Communications",14,64
"65","XiaoqunWang","Controlling Isochronous Traffic in CRMA/ATM Interworking ","ICC International Conference Communications",14,65
"66","Bu-SungLee;MdShamsuzzaman","A New Consolidation Algorithm for Point-to-Multipoint ABR Service in ATM Networks ","ICN International Competition Network",14,66
"67","NicolasDGeorganas","Analysis of a Packet Switch with Input and Output Buffers and Speed Constraints ","INFOCOM The Conference Computer Communications",14,67
"68","NicolasDGeorganas","Priority Performance of ATM Packet Switches ","INFOCOM The Conference Computer Communications",14,68
"69","LuisOrozco-Barbosa;NicolasDGeorganas","Switching Modules for ATM Switching Systems and Their Interconnection Networks ","Computer Networks and ISDN Systems",14,69
"70","AlokGupta;BorisJukic;PrabhudevKonana","Pricing Virtual Private Networks - An Economic, Engineering and Experimental Approach,","Business Modelling A MultiDisciplinary Approach Essays honor of Andrew B Whinston C Holsapple V Jacob H R Rao eds Kluwer Academic Publishers forthcoming",15,70
"71","AlokGupta;DaleOStahl;AndrewBWhinston","Priority Pricing of Integrated Services Networks, in Internet Economics, L W McKnight and J P Bailey, eds , MIT Press, Cambridge, MA, , - ","",15,71
"72","AlokGupta;DaleOStahl;AndrewBWhinston"," A Priority Pricing Approach to Manage Multi-Service Class Networks in Real-Time,"," The Journal of Electronic Publishing",15,72
"73","AlokGupta;DaleOStahl;AndrewBWhinston","A Stochastic Equilibrium Model of Internet Pricing,","Journal of Economic Dynamics and Control",15,73
"74","AlokGupta;BorisJukic;MingzhiLi;DaleOStahl;AndrewBWhinston"," Estimating Internet Users' Demand Characteristics,","Computational Economics",15,74
"75","AlokGupta;BorisJukic;ManojParameswaran;DaleOStahl;AndrewBWhinston"," Streamlining the Digital Economy: How to Avert a Tragedy of the Commons,","IEEE Internet Computing",15,75
"76","AlokGupta;DaleOStahl;AndrewBWhinston"," The Economics of Network Management,","Communications of the ACM",15,76
"77","AlokGupta;DaleOStahl;AndrewBWhinston","The Internet: A Future Tragedy of the Commons?","Computational Approaches to Economic Problems H Amman B Rustem and A B Whinston eds Kluwer Academic Publishers Dordrecht The",15,77
"78","AlokGupta;DouglasJMorrice","Transient S ensitivity Analysis in Computer Simulation,","Proceedings of European Simulation Multiconference Barcelona Nominated for the Best Paper Award",15,78
"79","PKonana;AlokGupta;AndrewBWhinston"," Integrating User Preferences and Real-time Workload in Electronic Commerce,","Information Systems Research",15,79
"80","PKonana;AlokGupta;DaleOStahl;AndrewBWhinston","Pricing and Real-Time Database Applications for Information Services: A Framework and Economic Justification,","Proceedings of ICIS International Conference Information Systems Dcember Winner Runners up award for the Best Paper",15,80
"81","PKonana;AlokGupta;DaleOStahl;AndrewBWhinston","Research Issues in Real-time DBMS in the Context of Electronic Commerce,","Proceedings of ACM for Workshop Databases Active and Real time association with th International Conference Information and Knowledge Management",15,81
"82","AndrewBWhinston;BorisJukic;DaleOStahl;ManojParameswaran","Streamlining the Digital Economy: How to Avert a Tragedy of the Commons ","IEEE Internet Computing",15,82
"83","AndrewBWhinston;DaleOStahl","The Economics of Network Management ","Commun ACM",15,83
"84","RaviBapna;PauloGoes;AlokGupta","Simulating Online Yankee Auctions to Optimize Sellers Revenue,","Proceedings of HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES Maui",15,84
"85","RaviBapna;PauloGoes;AlokGupta;YiweiJin","User Heterogeneity and its Impact on Electronic Auction Market Design: An Empirical Exploration,","Forthcoming Management Information Systems Quarterly",15,85
"86","RaviBapna;PauloGoes;AlokGupta"," A Theoretical and Empirical Investigation of Multi-item On-line Auctions,","Information Technology and Management",15,86
"87","RKChellappa;Gupta;A","Managing Computing Resources in Active Intranets ,","International Journal of Network Management",15,87
"88","AndrewChen;PauloGoes;AlokGupta;JamesMarsden","Database Design in the Modern Organization - Identifying Robust Structures Under Changing Query Patterns and Arrival Rate Conditions,","Forthcoming Decision Support Systems of Article Press version",15,88
"89","PauloBGoes;RaviBapna","Insights and Analyses of Online Auctions ","Commun ACM",15,89
"90","PauloBGoes;RaviBapna","Simulating Online Yankee Auctions to Optimize Sellers Revenue ","HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES",15,90
"91","RamDGopal","Minitrack Introduction ","HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES",15,91
"92","RamGopal;AlokGupta","Trading Higher Software Piracy for Higher Profits: The Case of Phantom Piracy,","Proceedings of HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES Big Island Nominated for the Best Paper Award",15,92
"93","AlokGupta;LeighLinden;DaleOStahl;AndrewBWhinston"," Benefits and Costs of Adopting Usage Based Pricing in a Subnetwork,","Information Technology and Management",15,93
"94","GedasAdomavicius;AlokGupta","Towards Comprehensive Bidder Support in Online Combinatorial Auctions,","Proceedings of WITS Workshop Information Technologies and Systems",15,94
"95","RaviBapna;PauloGoes;AlokGupta"," Comparative Analysis of Multi-Item Online Auctions: Evidence from the Laboratory,","Decision Support System",15,95
"96","RaviBapna;AlokGupta","Online Mercantile Processes: A Closer Look at B C Online Auctions, in Handbook of Electronic Commerce in Business and Society, P B Lowry, R J Watson, and J O Cherrington eds , St Lucie Press, Boca Raton, FL, , - ","",15,96
"97","RaviBapna;PauloGoes;AlokGupta","Online Mercantile Processes for Digital Products under Quality-of-Service and Uncertain Demand,","Proceedings of WITS Workshop Information Technologies and Systems Sydney",15,97
"98","RaviBapna;PauloGoes;AlokGupta"," Analysis and Design of Business-to-Consumer Online Auctions,","Management Science",15,98
"99","RaviBapna;PauloGoes;AlokGupta"," Insights and Analysis of Online Auctions,","Communications of the ACM",15,99
"100","RaviBapna;PauloGoes;AlokGupta;GilbertKaruga","Predictive Calibration of Online Multi-Unit Ascending Auctions,","Proceedings of WITS Workshop Information Technologies and Systems Barcelona Nominated for the Best Paper Award",15,100
"101","RaviBapna;PauloGoes;AlokGupta;GilbertKaruga","Optimal Design of the Online Auction Channel: Analytical, Empirical and Computational Insights,","Decision Sciences of prepublication version",15,101
"102","RaviBapna;PauloGoes;AlokGupta"," Replicating Online Yankee Auctions to Analyze Auctioneers' and Bidders' Strategies,","Information Systems Research",15,102
"103","AlokGupta;DaleOStahl;AndrewBWhinston","A Conceptual Framework for Applying Parallel Computing to Flexible Manufacturing Systems,","Proceedings of NSF Conference Design and Manufacturing",15,103
"104","AlokGupta;Bo-ChiuanSu;ZhipingWalter","Economic Analysis of Consumer Purchase Intentions in Electronic and Traditional Retail Channels: Competitive and Strategic Implications,","Forthcoming Decision Support Systems",15,104
"105","DaleOStahl;AndrewBWhinston","Economic Issues in Electronic Commerce,","Readings Electronic Ravi Kalakota and Andrew B Whinston eds Wesley Parts Reprinted under the same title Legal Issues Electronic R L ed Captus Press",15,105
"106","AlokGupta;DaleOStahl;AndrewBWhinston","A Decentralized Approach to Estimate Activity Based Costs and Near-Optimal Resource Allocation in Flexible Manufacturing Systems,","International Journal of Flexible Manufacturing Systems",15,106
"107","AlokGupta;YAlexTung;JamesRMarsden"," Digital Signature: Use and Modification to Achieve Success in Next Generational E-Business Processes,","Forthcoming Information Management",15,107
"108","AlokGupta;DaleOStahl;AndrewBWhinston"," Managing Computing Resources in Intranets: An Electronic Commerce Perspective,","Decision Support Systems",15,108
"109","AlokGupta;BorisJukic;DaleOStahl;AndrewBWhinston"," Extracting Consumers' Private Information for Implementing Incentive Compatible Internet Traffic Pricing,","Journal of Management Information Systems",15,109
"110","AlokGupta;DaleOStahl;AndrewBWhinston","An Economic Approach to Network Computing with Priority Classes,","Journal of Organizational Computing and Electronic",15,110
"111","AlokGupta;DaleOStahl;AndrewBWhinston","Application of Parallel Computing to Resource Pricing and Scheduling in Flexible Manufacturing Systems,","Operations Research Methods Models and Applications J E Aronson and S Zionts eds Quorum Books",15,111
"112","AlokGupta;DaleOStahl;AndrewBWhinston","Pricing of Services on The Internet,","IMPACT How IC Research Affects Public Policy and Business Markets Quorum Books forthcoming",15,112
"113","ArminBiere;EdmundMClarke;PoulFrederickWilliams","Combining Decision Diagrams and SAT Procedures for Efficient Symbolic Model Checking ","CAV Computer Aided Verification",16,113
"114","EdmundMClarke;JamesHKukula;OferShrichman","SAT Based Abstraction-Refinement Using ILP and Machine Learning Techniques ","CAV Computer Aided Verification",16,114
"115","AartiGupta;AnubhavGupta;ZijiangYang;PranavAshar","Dynamic Detection and Removal of Inactive Clauses in SAT with Application in Image","Computation DAC Design Automation Conference",16,115
"116","AartiGupta;PranavAshar;ZijiangYang","Dynamic Detection and Removal of Inactive Clauses in SAT with Application in Image Computation ","DAC Design Automation Conference",16,116
"117","AartiGupta;PranavAshar;ZijiangYang","SAT-Based Image Computation with Application in Reachability Analysis ","FMCAD Formal Methods Computer Aided Design",16,117
"118","RamSuryanarayan;TravisNBlalock","A slew rate enhancement technique for operational amplifiers based on a tunable active Gm-based capacitance multiplication circuit ","ACM Great Lakes Symposium VLSI Very Large Scale Integration",16,118
"119","PoulFrederickWilliams;ArminBiere;EdmundMClarke;AnubhavGupta","Combining Decision Diagrams and SAT Procedures for Efficient Symbolic Model Checking","CAV Computer Aided Verification",16,119
"120","JohnPHayes","Width minimization of two-dimensional CMOS cells using integer programming ","ICCAD International Conference Computer Aided Design",17,120
"121","JohnPHayes","Optimal -D cell layout with integrated transistor folding ","ICCAD International Conference Computer Aided Design",17,121
"122","JohnPHayes","CLIP: An Optimizing Layout Generator for Two-Dimensional CMOS Cells ","DAC Design Automation Conference",17,122
"123","JohnPHayes","CLIP: integer-programming-based optimal layout synthesis of D CMOS cells ","ACM Trans Design Autom Electr Syst",17,123
"124","IlianaAvila-Campillo;ToddJGreen;AshishKumarGupta;MakotoOnizuka;DemianRaven;DanSuciu","XMLTK: An XML Toolkit for Scalable XML Stream Processing"," PLANX",18,124
"125","SurajitChaudhuri;VivekRNarasayya","Compressing SQL workloads ","SIGMOD International Conference Management of Data Conference",18,125
"126","AshishKumarGupta;AlonHalevy;DanSuciu","View Selection for Stream Processing","WebDB",18,126
"127","AshishKumarGupta;DanSuciu","Stream Processing of XPath Queries with Predicates","SIGMOD International Conference Management of Data",18,127
"128","AshishKumarGupta;DanSuciu;AlonHalevy","The View Selection Problem for Stream Processing","PODS Symposium Principles of Database Systems",18,128
"129","AlonYHalevy;DanSuciu","View Selection for Stream Processing ","WebDB",18,129
"130","AlonYHalevy;DanSuciu","The view selection problem for XML content based routing ","PODS Symposium Principles of Database Systems",18,130
"131","DanSuciu","Stream Processing of XPath Queries with Predicates ","SIGMOD International Conference Management of Data Conference",18,131
"132","KanadChakraborty;PinakiMazumder","A Silicon Compiler for Fault-Tolerant ROMs ","DFT Defect and Fault Tolerance VLSI Systems",19,132
"133","KanadChakraborty;MayukhBhattacharya;PinakiMazumder;ShriramKulkarni","A Physical Design Tool for Built-in Self-Repairable Static RAMs ","DATE Design Automation and Test Europe",19,133
"134","LarryWhitman;RameshKAgarwal","Supply chain agent decision aid system SCADAS ","Winter Simulation Conference",19,134
"135","BenVerghese;MendelRosenblum;RohitChandra;ScottDevine","Scheduling and Page Migration for Multiprocessor Compute Servers ","ASPLOS Architectural Support for Programming Languages and Operating Systems",1,135
"136","JohnChapin;MendelRosenblum;StephenAlanHerrod","Memory System Performance of UNIX on CC-NUMA Multiprocessors ","SIGMETRICS Measurement and Modeling of Computer Systems",1,136
"137","Wolf-DietrichWeber","Cache Invalidation Patterns in Shared-Memory Multiprocessors ","IEEE Trans Computers",1,137
"138","DavidRCheriton;HendrikAGoosen;PatrickDBoyle","The VMP Multiprocessor: Initial Experience, Refinements and Performance Evlauation ","ISCA International Symposium Computer Architecture",1,138
"139","Wolf-DietrichWeber","Exploring the Benefits of Multiple Hardware Contexts in a Multiprocessor Architecture: Preliminary Results ","ISCA International Symposium Computer Architecture",1,139
"140","DanielLenoski;JamesLaudon;JohnLHennessy;KouroshGharachorloo;PhillipBGibbons","Memory Consistency and Event Ordering in Scalable Shared-Memory Multiprocessors ","ISCA International Symposium Computer Architecture",1,140
"141","AlexColburn;IvanTashev;JonathanJCadiz;Li-weiHe;RossCutler;SteveSilverberg;YongRui;ZhengyouZhang;ZichengLiu","Distributed meetings: a meeting capture and broadcasting system ","ACM Multimedia",1,141
"142","Wolf-DietrichWeber","Analysis of Cache Invalidation Patterns in Multiprocessors ","ASPLOS Architectural Support for Programming Languages and Operating Systems",1,142
"143","DanielLenoski;JamesLaudon;JohnLHennessy;KouroshGharachorloo","The Directory-Based Cache Coherence Protocol for the DASH Multiprocessor ","ISCA International Symposium Computer Architecture",1,143
"144","RossCutler;YongRui;AnoopGupta;JonathanJCadiz;IvanTashev;Li-weiHe;AlexColburn;ZhengyouZhang;ZichengLiu;SteveSilverberg","Distributed meetings,"," ACM_Multimedia",1,144
"145","Wolf-DietrichWeber;ToddCMowry","Reducing Memory and Traffic Requirements for Scalable Directory Based Cache Coherence Schemes,"," Anoop Gupta",1,145
"146","DanielLenoski;DavidNakahira;JamesLaudon;JohnLHennessy;LuisStevens;TrumanJoe","The DASH Prototype: Logic Overhead and Performance ","IEEE Trans Parallel Distrib Syst",1,146
"147","StevenCameronWoo;MoriyoshiOhara;EvanTorrie;JaswinderPalSingh;AnoopGupta","The SPLASH Programs,"," ISCA International Symposium Computer Architecture",1,147
"148","DanielLenoski;DavidNakahira;JamesLaudon;JohnLHennessy;LuisStevens;TrumanJoe","The DASH Prototype: Implementation and Performance ","ISCA International Symposium Computer Architecture",1,148
"149","DanielLenoski;JamesLaudon;JohnLHennessy;KouroshGharachorloo;MarkHorowitz;MonicaSLam;Wolf-DietrichWeber","The Stanford Dash Multiprocessor ","IEEE Computer",1,149
"150","MargaretMartonosi;ThomasEAnderson","Effectiveness of Trace Sampling for Performance Debugging Tools ","SIGMETRICS Measurement and Modeling of Computer Systems",1,150
"151","MargaretMartonosi;ThomasEAnderson","MemSpy: Analyzing Memory System Bottlenecks in Programs ","SIGMETRICS Measurement and Modeling of Computer Systems",1,151
"152","MargaretMartonosi;ThomasEAnderson","Tuning Memory Performance of Sequential and Parallel Programs ","IEEE Computer",1,152
"153","PerStenstr&ouml;m;TrumanJoe","Comparative Performance Evaluation of Cache-Coherent NUMA and COMA Architectures ","ISCA International Symposium Computer Architecture",1,153
"154","MargaretMartonosi","Tradeoffs in Message Passing and Shared Memory Implementations of a Standard Cell Router ","ICPP International Conference Parallel Processing",1,154
"155","MilindTambe","Suitability of Message Passing Computers for Implementing Production Systems ","AAAI National Conference Artificial Intelligence",1,155
"156","ToddCMowry;Wolf-DietrichWeber","Reducing Memory and Traffic Requirements for Scalable Directory-Based Cache Coherence Schemes ","ICPP International Conference Parallel Processing",1,156
"157","DanTeodosiu;JohnChapin;MendelRosenblum;ScottDevine;TirthankarLahiri","Hive: Fault Containment for Shared-Memory Multiprocessors ","SOSP Symposium Operating Systems Principles",1,157
"158","DanTeodosiu;JohnChapin;MendelRosenblum;ScottDevine;TirthankarLahiri","Implementing Efficient Fault Containment for Multiprocessors: Confining Faults in a Shared-Memory Multiprocessor Environment ","Commun ACM",1,158
"159","EvanTorrie;JaswinderPalSingh;MoriyoshiOhara;StevenCameronWoo","The SPLASH- Programs: Characterization and Methodological Considerations ","ISCA International Symposium Computer Architecture",1,159
"160","AndrewTucker;JosepTorrellas","Benefits of Cache-Affinity Scheduling in Shared-Memory Multiprocessors: A Summary ","SIGMETRICS Measurement and Modeling of Computer Systems",1,160
"161","AndrewTucker;JosepTorrellas","Evaluating the Performance of Cache-Affinity Scheduling in Shared-Memory Multiprocessors ","J Parallel Distrib Comput",1,161
"162","AndrewTucker","Exploiting Variable Grain Parallelism at Runtime ","PPOPP Principles Practice of Parallel Programming PPEALS Symposium Principles and Practice of Parallel Programming",1,162
"163","AndrewTucker","Process Control and Scheduling Issues for Multiprogrammed Shared-Memory Multiprocessors ","SOSP Symposium Operating Systems Principles",1,163
"164","AndrewTucker;ShigeruUrushibara","The Impact of Operating System Scheduling Policies and Synchronization Methods of the Performance of Parallel Application ","SIGMETRICS Measurement and Modeling of Computer Systems",1,164
"165","CharlesForgy;AnoopGupta;AllenNewell;RobertGWedig","Initial Assessment of Architectures for Production Systems,"," AAAI National Conference Artificial Intelligence",1,165
"166","CharlesForgy","Static and Run-Time Characteristics of OPS Production Systems ","J Parallel Distrib Comput",1,166
"167","KouroshGharachorloo;DanielLenoski;JamesLaudon;PhillipBGibbons;AnoopGupta;JohnLHennessy","Memory Consistency and Event Ordering in Scalable SharedMemory Multiprocessors Retrospectives and Reprints ,"," _Years_ISC",1,167
"168","KouroshGharachorloo;RohitChandra;VijayaraghavanSoundararajan","Performance evaluation of hybrid hardware and software distributed shared memory protocols ","International Conference Supercomputing",1,168
"169","KouroshGharachorloo;AnoopGupta;JohnLHennessy","Performance Evaluation of Memory Consistency Models for Shared Memory Multiprocessors,"," ASPLOS Architectural Support for Programming Languages and Operating Systems",1,169
"170","JonathanGrudin;LiweiHe","Designing presentations for on-demand viewing ","CSCW Conference Computer Supported Cooperative Work",1,170
"171","AnoopGupta;CharlesForgy;AllenNewell;RobertGWedig","Parallel Algorithms and Architectures for RuleBased Systems,"," ISCA International Symposium Computer Architecture",1,171
"172","AnoopGupta;MilindTambe","Suitability of Message Passing Computers for Implementing Production Systems,"," AAAI National Conference Artificial Intelligence",1,172
"173","ToddCMowry","Tolerating Latency Through Software-Controlled Prefetching in Shared-Memory Multiprocessors ","J Parallel Distrib Comput",1,173
"174","ZiyadSHakura","The Design and Analysis of a Cache Architecture for Texture Mapping ","ISCA International Symposium Computer Architecture",1,174
"175","DavidNakahira;DavidOfelt;JaswinderPalSingh;JeffreyKuskin;JoelBaxter;JohnHeinlein;JohnLHennessy;KouroshGharachorloo;MarkHeinrich;MarkHorowitz;MendelRosenblum;RichardSimoni","The Performance Impact of Flexibility in the Stanford FLASH Multiprocessor ","ASPLOS Architectural Support for Programming Languages and Operating Systems",1,175
"176","Li-weiHe;QiongLiu;YongRui","Building an intelligent camera management system ","ACM Multimedia",1,176
"177","DavidNakahira;DavidOfelt;JeffreyKuskin;JoelBaxter;JohnChapin;JohnHeinlein;JohnLHennessy;KouroshGharachorloo;MarkHeinrich;MarkHorowitz;MendelRosenblum;RichardSimoni","The Stanford FLASH Multiprocessor ","ISCA International Symposium Computer Architecture",1,177
"178","PPandurangNayak;PaulSRosenbloom","Comparison of the Rete and Treat Production Matchers for Soar ","AAAI National Conference Artificial Intelligence",1,178
"179","AllenNewell;CharlesForgy","High-Speed Implementations of Rule-Based Systems ","ACM Trans Comput Syst",1,179
