"Coauthor","Paper","Journal","AuthorID","PaperID"
"AnthonyCKlug","Optimizing Conjunctive Queries When Attribute Domains Are not Disjoint Extended Abstract ","FOCS IEEE Symposium Foundations of Computer Science","1","51"
"AnthonyCKlug","Optimizing Conjunctive Queries that Contain Untyped Variables ","SIAM Society for Industrial and Applied Mathematics J Comput","1","52"
"AnthonyCKlug","Testing Containment of Conjunctive Queries Under Functional and Inclusion Dependencies ","PODS Symposium Principles of Database Systems","1","53"
"AnthonyCKlug","Testing Containment of Conjunctive Queries under Functional and Inclusion Dependencies ","J Comput Syst Sci","1","54"
"AndreaSLaPaugh;RonYPinter","Minimizing Channel Density by Lateral Shifting of Components ","SODA Symposium Discrete Algorithms","1","55"
"AndreaSLaPaugh;EdwardGCoffman;MRGarey","Scheduling File Transfers ","SIAM Society for Industrial and Applied Mathematics J Comput","1","56"
"AndreaSLaPaugh;EdwardGCoffman;MRGarey","Scheduling File Transfers in a Distributed Network ","PODC Symposium Principles of Distributed Computing","1","57"
"ZMMao;OSpatscheck;JEvanderMerwe;;JWang","Efficient and robust streaming provisioning in VPNs,","Proceedings WWW World Wide Web Conference Series","1","58"
"ZMMao;JRexford;JWang;;RKatz","Scalable and accurate identification of AS-level forwarding paths,"," Proceedings INFOCOM The Conference Computer Communications","1","59"
"","The Tale of the Second Prover,","J Algorithms","1","60"
"","The Twelve Open Problems From [G&J]","Updates J Algorithms","1","61"
"","The Traveling Salesman Problem: A report on the State of the Art ","IFIP International Federation for Information Processing Congress","1","62"
"DLApplegate;LSBuriol;BLDillard;DSJohnson;;PWShor","The Cutting-Stock Approach to Bin Packing: Theory and Experiments,","Procedings of the Fifth Workshop Algorithm Engineering and Experimentation R E Ladner Editor SIAM Society for Industrial and Applied Mathematics","1","63"
"CRAragon;DSJohnson;LAMcGeoch;CSchevon","Optimization by Simulated Annealing: An Experimental Evaluation; Part II, Graph Coloring and Number Partitioning,","Operations Research","1","64"
"SFAssmann;DSJohnson;DJKleitman;JY-TLeung","On a Dual Version of the One-Dimensional Bin Packing Problem,","J Algorithms","1","65"
"AlexanderIBarvinok;ArieTamir;GerhardJWoeginger;RussellWoodroofe;S&aacute;ndorPFekete","The geometric maximum traveling salesman problem ","J ACM","1","66"
"AlexanderIBarvinok;GerhardJWoeginger;RussellWoodroofe","The Maximum Traveling Salesman Problem Under Polyhedral Norms ","IPCO Integer Programming Combinatorial Optimization","1","67"
"JLBentley;DSJohnson;FTLeighton;CCMcGeoch","An Experimental Study of Bin Packing,","Proc st Ann Allerton Conf Communication Control and Computing","1","68"
"JLBentley;DSJohnson;FTLeighton;CCMcGeoch;LAMcGeoch","Some Unexpected Behavior Results for Bin-Packing,","Proc th Ann ACM Symp Theory of Computing","1","69"
"CatherineCMcGeoch;FrankThomsonLeighton;JonLouisBentley;LyleAMcGeoch","Some Unexpected Expected Behavior Results for Bin Packing","STOC ACM Symposium Theory of Computing","1","70"
"NSMegiddo;SLHakimi;MRGarey;DSJohnson;CHPapadimitriou","The Complexity of Searching a Graph,","J Assoc Comp Mach","1","71"
"JacobusEvanderMerwe;JiaWang;OliverSpatscheck;ZhuoqingMorleyMao","Efficient and robust streaming provisioning in VPNs ","WWW World Wide Web Conference Series","1","72"
"MariaMinkoff;StevenPhillips","The prize collecting Steiner tree problem: theory and practice ","SODA Symposium Discrete Algorithms","1","73"
"GOstheimer;LyleAMcGeoch;MichaelLFredman","Data Structures for Traveling Salesmen ","SODA Symposium Discrete Algorithms","1","74"
"GOstheimer;LyleAMcGeoch;MichaelLFredman","Data Structures for Traveling Salesmen ","J Algorithms","1","75"
"ChristosHPapadimitriou;MihalisYannakakis","How Easy is Local Search?","J Comput Syst Sci","1","76"
"ChristosHPapadimitriou;MihalisYannakakis","How Easy Is Local Search? Extended Abstract ","FOCS IEEE Symposium Foundations of Computer Science","1","77"
"ChristosHPapadimitriou","On Generating All Maximal Independent Sets ","Inf Process Lett","1","78"
"ChristosHPapadimitriou;EliasDahlhaus;MihalisYannakakis;PaulDSeymour","The Complexity of Multiway Cuts Extended Abstract ","STOC ACM Symposium Theory of Computing","1","79"
"FrancineBerman;FrankThomsonLeighton;LarrySnyder;PeterWShor","Generalized Planar Matching ","J Algorithms","1","80"
"FrancineBerman","Performance of the Efficient Data-Driven Evaluation Scheme ","J Parallel Distrib Comput","1","81"
"WMBoyce;MRGarey;DSJohnson","A Note on Bisecting Minimum Spanning Trees,","Networks","1","82"
"PBrucker;MRGarey;DSJohnson","Scheduling Equal-Length Tasks Under Treelike Precedence Constraints to Minimize Maximum Lateness,","Math of Oper Research","1","83"
"FRKChung;MRGarey;DSJohnson","On Packing Two-Dimensional Bins,","SIAM Society for Industrial and Applied Mathematics J Algebraic and Discrete Methods","1","84"
"VChvatal;MRGarey;DSJohnson","Two Results Concerning Multicoloring,","Ann Disc Math","1","85"
"JillCirasella;LyleAMcGeoch;WeixiongZhang","The Asymmetric Traveling Salesman Problem: Algorithms, Instance Generators, and Tests ","ALENEX Algorithm Engineering and Experiments","1","86"
"EGCoffman;;MRGarey;DSJohnson","Bin Packing with Divisible Item Sizes,","J Complexity","1","87"
"EGCoffman;;DSJohnson;LAMcGeoch;PWShor;RRWeber","Bin Packing with Discrete Item Sizes, Part III: Average Case Behavior of FFD and BFD,","","1","88"
"EGCoffman;;CACourcoubetis;MRGarey;DSJohnson;PWShor;RRWeber;;MYannakakis","Bin Packing with Discrete Item Sizes, Part I: Perfect Packing Theorems and the Average Case Behavior of Optimal Packings,","SIAM Society for Industrial and Applied Mathematics J Discrete Math","1","89"
"ChristosHPapadimitriou;EliasDahlhaus;MihalisYannakakis;PaulDSeymour","The Complexity of Multiterminal Cuts ","SIAM Society for Industrial and Applied Mathematics J Comput","1","90"
"ChristosHPapadimitriou;MRGarey;NimrodMegiddo;SLouisHakimi","The complexity of searching a graph ","J ACM","1","91"
"ChristosHPapadimitriou;MRGarey;NimrodMegiddo;SLouisHakimi","The Complexity of Searching a Graph Preliminary Version ","FOCS IEEE Symposium Foundations of Computer Science","1","92"
"FrancoPPreparata","The Densest Hemisphere Problem ","Theor Comput Sci","1","93"
"FrancoPPreparata;MRGarey;RobertEndreTarjan","Triangulating a Simple Polygon ","Inf Process Lett","1","94"
"EdwardERothberg;LyleAMcGeoch","Asymptotic Experimental Analysis for the Held-Karp Traveling Salesman Bound ","SODA Symposium Discrete Algorithms","1","95"
"BarbaraBSimons;MRGarey;RobertEndreTarjan","Scheduling Unit-Time Tasks with Arbitrary Release Times and Deadlines ","SIAM Society for Industrial and Applied Mathematics J Comput","1","96"
"HCSo;MRGarey","An Application of Graph Coloring to Printed Circuit Testing Working Paper ","FOCS IEEE Symposium Foundations of Computer Science","1","97"
"LarryJStockmeyer;MRGarey","Some Simplified NP-Complete Graph Problems ","Theor Comput Sci","1","98"
"LarryJStockmeyer;MRGarey","Some Simplified NP-Complete Problems","STOC ACM Symposium Theory of Computing","1","99"
"MRGarey","The Rectilinear Steiner Tree Problem in NP Complete ","SIAM Society for Industrial and Applied Mathematics Journal of Applied Mathematics","1","100"
"MRGarey;DSJohnson","The Rectilinear Steiner Tree Problem is NP-Complete,","SIAM Society for Industrial and Applied Mathematics J Appl Math","1","101"
"MRGarey;DSJohnson","A / Theorem for Bin Packing,","J Complexity","1","102"
"MRGarey;DSJohnson","Two-Processor Scheduling with Start-Times and Deadlines,","SIAM Society for Industrial and Applied Mathematics J Computing","1","103"
"MRGarey;DSJohnson;FPPreparata;RETarjan","Triangulating a Simple Polygon,","Information Processing Letters","1","104"
"EdwardGCoffman;PeterWShor;RichardRWeber","Bin packing with discrete item sizes, part II: Tight bounds on First Fit ","Random Structures and Algorithms","1","105"
"MGoldwasser;DSJohnson;;CCMcGeochEditors","Proceedings of the th and th DIMACS Implementation Challenges,","American Mathematical Society","1","106"
"EGCoffman;MRGarey;DSJohnson","Dynamic Bin Packing,","SIAM Society for Industrial and Applied Mathematics J Computing","1","107"
"ZJHaas;JHWinters;;DSJohnson","Simulation Results of the Capacity of Cellular Systems,","IEEE Trans Vehicular Technology","1","108"
"EGCoffman;;CACourcoubetis;MRGarey;DSJohnson;LAMcGeoch;PWShor;RRWeber;MYannakakis","Fundamental Discrepancies between Average-Case Analyses under Discrete and Continuous Distributions: A Bin Packing Case Study,","Proc rd Ann ACM Symp Theory of Computing Journal versions See below","1","109"
"FrankKHwang;MRGarey","Algorithms for a Set Partitioning Problem Arising in the Design of Multipurpose Units ","IEEE Trans Computers","1","110"
"EGCoffman;;DSJohnson;FTLeighton;PWShor;RRWeber","Average Case Behavior of FFD and Optimal Bin Packings on U[ ,a] Distributions,","","1","111"
"J&aacute;nosCsirik","Bounded Space On-Line Bin Packing: Best is Better than First ","SODA Symposium Discrete Algorithms","1","112"
"EGCoffman;;DSJohnson;PWShor;RRWeber","Markov Chains, Computer Proofs, and Average-Case Analysis of Best Fit Bin Packing,","Proc th Ann ACM Symp Theory of Computing","1","113"
"J&aacute;nosCsirik","Bounded Space On-Line Bin Packing: Best Is Better than First ","Algorithmica","1","114"
"EdwardGCoffman;MRGarey","An Application of Bin-Packing to Multiprocessor Scheduling ","SIAM Society for Industrial and Applied Mathematics J Comput","1","115"
"EGCoffman;MRGarey;DSJohnson","Approximation Algorithms for Bin-Packing - An Updated Survey,","Algorithm Design for Computer System Design G Ausiello M Lucertini and P Serafini editors Springer Verlag","1","116"
"EGCoffman;;MRGarey;;DSJohnson","Approximation Algorithms for Bin Packing: A Survey,","Approximation Algorithms for NP Hard Problems D Hochbaum editor PWS Publishing","1","117"
"EGCoffman;;DSJohnson;GSLueker;PWShor","Probabilistic Analysis of Packing and Related Partitioning Problems,","Statistical Science","1","118"
"EGCoffman;;CCourcoubetis;MRGarey;DSJohnson;PWShor;RRWeber;;MYannakakis","Perfect Packing Theorems and the Average Case Behavior of Optimal and Online Bin Packing,","SIAM Society for Industrial and Applied Mathematics Review Updated version of above","1","119"
"MarioSzegedy","What are the Least Tractable Instances of max Tndependent Set?","SODA Symposium Discrete Algorithms","1","120"
"CYoung;DSJohnson;DRKarger;MDSmith","Near-optimal Intraprocedural Branch Alignment,","Proceedings Symp Programming Languages Design and Implementation","1","121"
"DSJohnsonEditor;Maintainer"," th DIMACS Implementation Challenge: The Traveling Salesman Problem,"," http www research att com dsj chtsp index html","1","122"
"DSJohnsonEditor","Challenges for Theoretical Computer Science: DRAFT June ,"," http www research att com dsj nsflist html","1","123"
"DSJohnsonEditor","STOC/FOCS Bibliography,","ACM Press","1","124"
"DSJohnson;MATrickEditors","Cliques, Coloring, and Satisfiability: Proceedings of the nd DIMACS Implementation Challenge,","American Mathematical Society","1","125"
"DSJohnson;CHPapadimitriou","Computational Complexity,","The Traveling Salesman Problem E L Lawler J K Lenstra A H G Rinnooy Kan and D B Shmoys editors John Wiley and Sons Ltd","1","126"
"EdwardGCoffman;MRGarey;RobertEndreTarjan","Performance Bounds for Level-Oriented Two-Dimensional Packing Algorithms ","SIAM Society for Industrial and Applied Mathematics J Comput","1","127"
"DSJohnson","A Catalogue of Complexity Classes,","The Handbook of Theor Comp Sci J Van Leeuwen editor Elsevier","1","128"
"EGCoffman;;MRGarey;DSJohnson;ASLaPaugh","Scheduling File Transfers,","SIAM Society for Industrial and Applied Mathematics J Comput","1","129"
"DSJohnson;TNishizeki;ANozaki;HSWilfEditors","Discrete Algorithms and Complexity: Proceedings of the Japan-US Joint Seminar, June - , , Kyoto, Japan,","Academic Press New","1","130"
"CJColbourn;DSJohnson","Unit Disk Graphs,","Discrete Math","1","131"
"DSJohnson","Fast Algorithms for Bin Packing,","Journal of Computer and System Sciences","1","132"
"CostasCourcoubetis;EdwardGCoffman;MRGarey;MihalisYannakakis;PeterWShor;RichardRWeber","Bin Packing with Discrete Item Sizes, Part I: Perfect Packing Theorems and the Average Case Behavior of Optimal Packings ","SIAM Society for Industrial and Applied Mathematics J Discrete Math","1","133"
"DSJohnson;CHPapadimitriou;MYannakakis","How Easy is Local Search?,","Journal of Computer and System Sciences Preliminary version Proc th Ann IEEE Symp Foundations of Computer Science","1","134"
"CostasCourcoubetis;EdwardGCoffman;LyleAMcGeoch;MRGarey;MihalisYannakakis;PeterWShor;RichardRWeber","Fundamental Discrepancies between Average-Case Analyses under Discrete and Continuous Distributions: A Bin Packing Case Study","STOC ACM Symposium Theory of Computing","1","135"
"DSJohnson;HOPollack","Hypergraph Planarity and the Complexity of Drawing Venn Diagrams,","J Graph Theory","1","136"
"JCsirik;DSJohnson","Bounded Space On-Line Bin Packing: Best is Better than First,","Algorithmica Preliminary version appeared Proc Ann ACM SIAM Society for Industrial and Applied Mathematics Symp Discrete Algorithms","1","137"
"JCsirik;DSJohnson;;CKenyon","Better Approximation Algorithms for Bin Covering,","Proc th Ann ACM SIAM Society for Industrial and Applied Mathematics Symp Discrete Algorithms","1","138"
"JCsirik;DSJohnson;CKenyon;JBOrlin;PWShor;RRWeber","On the Sum-of-Squares Algorithm for Bin Packing,","Proc Annual ACM Symp Theory of Computing Journal version to J ACM","1","139"
"JCsirik;DSJohnson;CKenyon;PWShor;RRWeber","A Self-Organizing Bin Packing Heuristic,","Algorithm Engineering and Experimentation M T Goodrich and C C McGeoch Eds Springer Lecture Notes Computer Science","1","140"
"EDahlhaus;DSJohnson;CHPapadimitriou;PDSeymour;MYannakakis","The Complexity of Multiterminal Cuts,","SIAM Society for Industrial and Applied Mathematics J Computing","1","141"
"DSJohnson","Local Optimization and the Traveling Salesman Problem,","Proc th Colloq Automata Lang and Prog","1","142"
"DSJohnson;ASLaPaugh;RYPinter","Minimizing Channel Density by Lateral Shifting of Components,","Proc th Ann ACM SIAM Society for Industrial and Applied Mathematics Symp Discrete Algorithms","1","143"
"DSJohnson;LAMcGeoch","Experimental Analysis of Heuristics for the STSP,","The Traveling Salesman Problem and its Variations G Gutin and A Punnen Editors Kluwer Academic Publishers Dordrecht","1","144"
"DSJohnson;GGutin;LAMcGeoch;AYeo;WZhang;;AZverovich","Experimental Analysis of Heuristics for the ATSP,","The Traveling Salesman Problem and its Variations G Gutin and A Punnen Editors Kluwer Academic Publishers Dordrecht","1","145"
"DSJohnson","More Approaches to the Travelling Salesman Guide,","Nature page","1","146"
"WHEDay;DSJohnson;DSankoff","The Computational Complexity of Inferring Rooted Phylogenies by Parsimony,","Math Biosciences","1","147"
"DSJohnson;CHPapadimitriou;MYannakakis","On Generating all Maximal Independent Sets,","Information Processing Letters","1","148"
"AlanJDemers;JeffreyDUllman;MRGarey;RonaldLGraham","Worst-Case Performance Bounds for Simple One-Dimensional Packing Algorithms ","SIAM Society for Industrial and Applied Mathematics J Comput","1","149"
"DSJohnson;MSzegedy","What are the Least Tractable Instances of Max Independent Set?,","Proc th Ann ACM SIAM Society for Industrial and Applied Mathematics Symp Discrete Algorithms S S","1","150"
"","Communicating Processes,","J Algorithms","1","151"
"ASFraenkel;MRGarey;DSJohnson;TSchaefer;YYesha","The Complexity of Checkers on an NxN Board: Preliminary Report,","Proc th Annual Symposium Foundations of Computer Science","1","152"
"DSJohnson;KANiemi","On Knapsacks, Partitions, and a New Dynamic Programming Technique for Trees,","Math of Oper Research","1","153"
"","Computing in the Math Department, Part I,","J Algorithms","1","154"
"AviezriSFraenkel;MRGarey;TSchaefer;YYesha","The Complexity of Checkers on an N * N Board - Preliminary Report","FOCS IEEE Symposium Foundations of Computer Science","1","155"
"DSJohnson","NP-Completeness: An Ongoing Guide,","Academic Press Collection of NP completeness columns","1","156"
"","Computing with One Hand Tied behind Your Back,","J Algorithms","1","157"
"MLFredman;DSJohnson;LAMcGeoch;GOstheimer","Data Structures for Traveling Salesmen,","J Algorithms","1","158"
"DSJohnson","On Property $B_r$,","J Comb Theory B","1","159"
"","Concurrent Processing,","J Algorithms","1","160"
"MRGarey;RLGraham;DSJohnson;DEKnuth","Complexity Results for Bandwidth Minimization,","SIAM Society for Industrial and Applied Mathematics J Appl Math","1","161"
"","A Catalog of Complexity Classes ","Handbook of Theoretical Computer Science Volume A Algorithms and Complexity A","1","162"
"MRGarey;DSJohnson","Complexity Results for Multiprocessor Scheduling Under Resource Constraints,","SIAM Society for Industrial and Applied Mathematics J Computing","1","163"
"","Data Structures for Traveling Salesmen Abstract ","SWAT Scandinavian Workshop Algorithm Theory","1","164"
"MRGarey","Composing Functions to Minimize Image Size ","SIAM Society for Industrial and Applied Mathematics J Comput","1","165"
"","Fun and Games,","J Algorithms","1","166"
"MRGarey;DSJohnson;WHFreeman","Computers and Intractability: A Guide to the Theory of NP-Completeness","","1","167"
"","Fast Algorithms for Bin Packing ","J Comput Syst Sci","1","168"
"","Fast Allocation Algorithms","FOCS IEEE Symposium Foundations of Computer Science","1","169"
"MRGarey;DSJohnson","Crossing Number is NP-Complete,","SIAM Society for Industrial and Applied Mathematics J Algebraic and Discrete Methods","1","170"
"DSJohnson;JLBentley;LAMcGeoch;;EERothberg","Near-Opimal Solutions to Very Large Traveling Salesman Problems,"," Monograph preparation","1","171"
"DSJohnson","Worst Case Behavior of Graph Coloring Algorithms,","Proc th Southeastern Conf Comb Graph Theory and Computing","1","172"
"DSJohnson;MRGarey;RLGraham;ADemers;JDUllman","Worst Case Performance Bounds for Simple One-Dimensional Packing Algorithms,","SIAM Society for Industrial and Applied Mathematics J Computing","1","173"
"DSJohnson;CCMcGeochEditors","Network Flows and Matching: Proceedings of the st DIMACS Implementation Challenge,","American Mathematical Society","1","174"
"DSJohnson","Approximation Algorithms for Combinatorial Problems,","Journal of Computer and System Sciences","1","175"
"MRGarey;FKHwang;DSJohnson","Algorithms for a Set Partitioning Problem Arising in the Design of Multi-Purpose Units,","IEEE Trans Computers C","1","176"
"DSJohnson;CHPapadimitriou","Performance Guarantees for Heuristics,","The Traveling Salesman Problem E L Lawler J K Lenstra A H G Rinnooy Kan and D B Shmoys editors John Wiley and Sons Ltd","1","177"
"MRGarey;RLGraham;DSJohnson","On a Number Theoretic Bin Packing Conjecture,","Proc th Hungarian Combinatorics Colloquium","1","178"
"DSJohnson;AKlug","Optimizing Conjunctive Queries that Contain Untyped Variables,","SIAM Society for Industrial and Applied Mathematics J Computing","1","179"
"MRGarey;DSJohnson;HCSo","An Application of Graph Coloring To Printed Circuit Testing,","IEEE Trans Circuits and Systems CAS","1","180"
"DSJohnson;CRAragon;LAMcGeoch;CShevon","Optimization by Simulated Annealing: An Experimental Evaluation; Part I, Graph Partitioning,","Operations Research","1","181"
"MRGarey;DSJohnson","A Note on A Note on 'Some Simplified NP-Complete Graph Problems' ,","SIGACT News page","1","182"
"DSJohnson","Slow Ant,","New Scientist page","1","183"
"MRGarey;DSJohnson","Approximation Algorithms For Bin Packing Problems: A Survey,","Analysis and Design of Algorithms Combinatorial Optimization G Ausiello and M Lucertini editors Springer Verlag","1","184"
"DSJohnson;LAMcGeoch;;EERothberg","Asymptotic Experimental Analysis for the Held-Karp Traveling Salesman Bound,","Proc th Ann ACM SIAM Society for Industrial and Applied Mathematics Symp Discrete Algorithms","1","185"
"MRGarey;DSJohnson","Approximation Algorithms for Combinatorial Problems: An Annotated Bibliography,","Algorithms and Complexity New Directions and Recent Results J F Traub editor Academic Press","1","186"
"MRGarey;RLGraham;DSJohnson","Performance Guarantees for Scheduling Algorithms,","Operations Research","1","187"
"MRGarey;RLGraham;DSJohnson;AYao","Resource Constrained Scheduling as Generalized Bin Packing,","J Comb Theory A","1","188"
"MRGarey;DSJohnson;BBSimons;RETarjan","Scheduling Unit-Time Tasks with Arbitrary Release Times and Deadlines,","SIAM Society for Industrial and Applied Mathematics J Computing","1","189"
"MRGarey;DSJohnson;RETarjan;MYannakakis","Scheduling Opposing Forests,","SIAM Society for Industrial and Applied Mathematics J Algebraic and Discrete Methods","1","190"
"","Graph Restrictions and Their Effect,","J Algorithms","1","191"
"","Knapsacks, Linear Programs, and a Gamut of Problems,","J Algorithms","1","192"
"","Local Optimization and the Traveling Salesman Problem ","ICALP Automata Languages and Programming","1","193"
"","Embedding Problems,","J Algorithms","1","194"
"","Uniqueness,","J Algorithms","1","195"
"","Announcements, Updates, and Greatest Hits,","J Algorithms","1","196"
"TeofiloFGonzalez","A New Algorithm for Preemptive Scheduling of Trees ","J ACM","2","197"
"BrianMinnihan;CeliaWrathall;WebbMiller","Reducibility Among Floating-Point Graphs ","J ACM","2","198"
"SamuelDKashdan","Lower Bounds for Selection in X+Y and Other Multisets ","J ACM","2","199"
"","A Priority Queue in Which Initialization and Queue Operations Take O log log D Time ","Mathematical Systems Theory","2","200"
"PanagiotisTakisMetaxas","Connected Components in O \lg^ / |V| Parallel Time for the CREW PRAM","FOCS IEEE Symposium Foundations of Computer Science","2","201"
"ShankarMVenkatesan","Parallel Algorithms for Minimum Cuts and Maximum Flows in Planar Networks Preliminary Version ","FOCS IEEE Symposium Foundations of Computer Science","2","202"
"ShankarMVenkatesan","Partition of Planar Flow Networks Preliminary Version ","FOCS IEEE Symposium Foundations of Computer Science","2","203"
"LarryRaab","Finding Optimal Quorum Assignments for Distributed Databases ","ICPP International Conference Parallel Processing","2","204"
"PanagiotisTakisMetaxas","Optimal Algorithms for the Vertex Updating Problem of a Minimum Spanning Tree ","IPPS International Parallel Processing Symposium","2","205"
"LarryRaab","A Tight Upper Bound on the Benefits of Replication and Consistency Control Protocols ","PODS Symposium Principles of Database Systems","2","206"
"PanagiotisTakisMetaxas","A Parallel Algorithm for Computing Minimum Spanning Trees ","SPAA ACM Symposium Parallel Algorithms and Architectures","2","207"
"GregNFrederickson","Generalized Selection and Ranking Preliminary Version ","STOC ACM Symposium Theory of Computing","2","208"
"GregNFrederickson","Generating and Searching Sets Induced by Networks ","ICALP Automata Languages and Programming","2","209"
"GregNFrederickson","Finding k-th Paths and p-Centers by Generating and Searching Good Data Structures ","J Algorithms","2","210"
"PanagiotisTakisMetaxas","A Parallel Algorithm for Computing Minimum Spanning Trees ","J Algorithms","2","211"
"FilliaMakedon;JamesMatthews;MatthewCheyney;PanagiotisTakisMetaxas;PeterAGloor","Toward Multimedia Conference Proceedings ","Commun ACM","2","212"
