"Coauthor","Paper","Journal","AuthorID","PaperID"
"","There's gold in them thar networks! or searching for treasure in all wrong places ","SIGUCCS Special Interest Group University and Computing Services","1","26"
"","Training Help Desk Students: The Never Ending Task ","SIGUCCS Special Interest Group University and Computing Services","1","27"
"","There's gold in them thar networks!: or searching for treasure in all the wrong places ","SIGUCCS Special Interest Group University and Computing Services","1","28"
"JanEveleth;LindaJHutchison;PriscillaHuston;SusanCalcari","Network information centers NICs : is there one on your horizon?","SIGUCCS Special Interest Group University and Computing Services","1","29"
"","There's gold in them thar networks! or searching for treasure in all the wrong places ","SIGUCCS Special Interest Group University and Computing Services","1","30"
"","Network client server applications on the network ","SIGUCCS Special Interest Group University and Computing Services","1","31"
"","A solution to the campus parking problem ","SIGUCCS Special Interest Group University and Computing Services","1","32"
"","Moving to a total client server operation ","SIGUCCS Special Interest Group University and Computing Services","1","33"
"","Seamless integration of client server applications ","SIGUCCS Special Interest Group University and Computing Services","1","34"
"","Are we ready for distance education?","SIGUCCS Special Interest Group University and Computing Services","1","35"
"","Desktop videoconferencing - first steps ","SIGUCCS Special Interest Group University and Computing Services","1","36"
"","Computer Understanding of Conventional Metaphoric Language ","Cognitive Science","2","37"
"","MetaBank: A Knowledge-Base of Metaphoric Language Conventions ","Computational Intelligence","2","38"
"BenjaminGZorn;BradCalder;DirkGrunwald;DonaldCLindsay;MichaelMozer","Corpus-Based Static Branch Prediction ","PLDI Special Interest Group Programming Language Design and Implementation","2","39"
"","Representing UNIX Domain Metaphors ","Artif Intell Rev","2","40"
"BenjaminGZorn;BradCalder;DirkGrunwald;DonaldCLindsay;MichaelJones;MichaelMozer","Evidence-Based Static Branch Prediction Using Machine Learning ","ACM Trans Program Lang Syst","2","41"
"DavidNChin;DekaiWu;JamesMayfield;MarcLuria;RobertWilensky","The Berkeley UNIX Consultant Project ","Artif Intell Rev","2","42"
"CarlHBlock;DavidEMonarchi;MeganRMacMillan","A Prototype System for Extracting Objects from Software Specifications ","ACM SIGBDP Special Interest Group Business Data Processing Conference Trends and Directions Expert Systems","2","43"
"KeithVanderLinden","Expressing Rhetorical Relations in Instructional Text: A Case Study of the Purposes Relation ","Computational Linguistics","2","44"
"","Understanding New Metaphors ","IJCAI International Joint Conference Artificial Intelligence","2","45"
"","Representing regularities in the metaphoric lexicon ","COLING Conference Computational Linguistics","2","46"
"","Conventional Metaphor and the Lexicon ","SIGLEX Special Interest Group the Lexicon of the Association for Computational Linguistics Workshop","2","47"
"DavidNChin;DekaiWu;JamesMayfield;MarcLuria;RobertWilensky","The Berkeley UNIX Consultant Project ","Computational Linguistics","2","48"
"","Norvig's Paradigms of Artificial Intelligence Programming: An Instructor's Perspective ","Artif Intell","2","49"
"KeithVanderLinden;SusannaCumming","Using System Networks to Build Rhetorical Structures ","NLG Natural Language Generation","2","50"
"DanFass;ElizabethAHinkelman","Introduction to the Special Issue on Non-Literal Language ","Computational Intelligence","2","51"
"BruceKwan;MarioGerla;PrasasthPalnati;RajiveBagrodia;SimonWalton;Yu-anChen","Parallel Simulation of a High-Speed Wormhole Routing Network ","Workshop Parallel and Distributed Simulation","3","52"
"RajiveBagrodia;SoniaFurman","A Comparative Study on the Effects of Spatial Diversity in Ad Hoc Networks Using On-Demand Routing Protocols ","ICPP International Conference Parallel Processing Workshops","3","53"
"AifengRen;MineoTakai;RajiveBagrodia","Directional virtual carrier sensing for directional antennas in mobile ad hoc networks ","MobiHoc","3","54"
"MineoTakai;RajiveBagrodia","Effects of wireless physical layer modeling in mobile ad hoc networks ","MobiHoc","3","55"
"HaYoonSong;MineoTakai;RajiveBagrodia;RichardAMeyer;XiangZeng;Yu-anChen","Parssec: A Parallel Simulation Environment for Complex Systems ","IEEE Computer","3","56"
"RajiveBagrodia","Compose: An Object-Oriented Environment for Parallel Discrete-Event Simulations ","Winter Simulation Conference","3","57"
"RajiveBagrodia;RichardAMeyer","Slow memory: the rising cost of optimism ","PADS Workshop Parallel and Distributed Simulation","3","58"
"KaixinXu;MineoTakai;RajiveBagrodia","Looking ahead of real time in Hybrid component networks ","Workshop Parallel and Distributed Simulation","3","59"
"AndreaLMox;JohnMajor;MarleneRPratto;MartieSkinner;RobertMinato","Personal networks: why both and how to get started ","SIGUCCS Special Interest Group University and Computing Services","4","60"
"JonathanThyer;MarleneRPratto;MartieSkinner","Global Greensboro, the Guilford Country Schools and UNCG ","SIGUCCS Special Interest Group University and Computing Services","4","61"
"AndreaLMox;JohnMajor;MarleneRPratto;MartieSkinner;RobertMinato","Personal networks: how does your support garden grow?","SIGUCCS Special Interest Group University and Computing Services","4","62"
"AndreaLMox;JohnMajor;MarleneRPratto;MartieSkinner;RobertMinato","A year in the life of a personal network ","SIGUCCS Special Interest Group University and Computing Services","4","63"
"AndreaMox;JohnMajor;MarlenePratto;MartieSkinner;RobertMinato","Keeping it going: a progress report on the nd year of coast-to-coast consulting ","SIGUCCS Special Interest Group University and Computing Services","4","64"
"MartieSkinner","Managing chaos: being available without driving the consultants crazy ","SIGUCCS Special Interest Group University and Computing Services","4","65"
"LorenzoAlvisi;MichaelDahlin","Minimal Byzantine Storage ","DISC International Symposium Distributed Computing","5","66"
"LorenzoAlvisi;MichaelDahlin","Small Byzantine Quorum Systems ","DSN The International Conference Dependable Systems and Networks","5","67"
"DonSBatory;RobertoELopez-Herrejon","Generating Product-Lines of Product-Families ","ASE Automated Software Engineering","5","68"
"J-PMartin;LAlvisi;MDahlin","Minimal Byzantine Quorum Systems extended technical report ","NOTE This paper is superseded by Minimal Byzantine Storage above","5","69"
"J-PMartin;LAlvisi;MDahlin","Minimal Byzantine Storage","Proceedings of the th International Symposium Distributed Computing DISC International Symposium Distributed Computing Toulouse LNCS ISBN","5","70"
"J-PMartin;LAlvisi;MDahlin","Minimal Byzantine Storage extended technical report ","Technical Report TR updated version Published DISC International Symposium Distributed Computing","5","71"
"ArunVenkataramani;JianYin;LorenzoAlvisi;MichaelDahlin","Separating agreement from execution for byzantine fault tolerant services ","SOSP Symposium Operating Systems Principles","5","72"
"J-PMartin;LAlvisi;MDahlin","Small Byzantine Quorum Systems","Proceedings of the International Conference Dependable Systems Networks DSN The International Conference Dependable Systems and Networks pages","5","73"
"ArunVenkataramani;JianYin;LorenzoAlvisi;MichaelDahlin","Towards a Practical Approach to Confidential Byzantine Fault Tolerance ","Future Directions Distributed Computing","5","74"
"J-PMartin;LAlvisi;MDahlin","Small Byzantine Quorum Systems extended technical report ","Technical Report TR","5","75"
"JYin;J-PMartin;AVenkataramani;LAlvisi;MDahlin","Byzantine Fault-Tolerant Confidentiality updated ","Future Directions Distributed Computing Workshop","5","76"
"J-PMartin","On Checking Temporal Properties of Software with Boolean Programs","","5","77"
"JYin;AVenkataramani;J-PMartin;LAlvisi;MDahlin","Fault-Tolerance and Security when opposites attract ","slides from","5","78"
"JianYin;Jean-PhilippeMartin;ArunVenkataramani;LorenzoAlvisi;MikeDahlin","Separating Agreement from Execution for Byzantine Fault Tolerant Services ","Proceedings of the th Symposium Operating Systems Principles SOSP Symposium Operating Systems Principles","5","79"
"JohannesMartin;HausiMü¾˜¶˜¼llerD","Discovering Implicit Inheritance Relations in Non Object-Oriented Code ","Advances Software Engineering Comprehension Evaluation and Evolution Edited by Erdogmus Tanir e Springer Verlag New ISBN","6","80"
"LudgerMartin;AnkeGiesl;JohannesMartin","Dynamic Component Program Visualisation ","Proceedings of the th Working Conference for Reverse Engineering","6","81"
"JohannesMartin","Tool Adoption: A Software Developer's Perspective ","Proceedings of the rd International Workshop Adoption Centric Software Engineering","6","82"
"LudgerMartin;AnkeGiesl;JohannesMartin","Dynamische Komponenten-Programm-Visualisierung "," Workshop Software Reengineering Bad Honnef","6","83"
"BruceWinter;HausiAM&uuml;ller;KennyWong","Analyzing xfig Using the Rigi Tool Suite ","WCRE Working Conference Reverse Engineering","6","84"
"JohannesMartin;LudgerMartin","Web Site Maintenance With Software Enginerring Tools ","Proceedings of the rd International Workshop Web Site Evolution ISBN","6","85"
"JohannesMartin;KennyWong;BruceWinter;HausiMü¾˜¶˜¼ller","Analyzing xfig Using the Rigi Tool Suite ","Proceedings of the th Working Conference for Reverse Engineering Brisbane ISBN","6","86"
"JohannesMartin;LudgerMartin","Reengineering-Werkzeuge fü¾˜¶˜¼r Webseiten "," Workshop Software Reengineering Bad Honnef","6","87"
"JohannesMartin;HausiMü¾˜¶˜¼ller","Strategies for Migration from C to Java ","Proceedings of the th European Conference for Software Maintenance and Reengineering Lisbon ISBN","6","88"
"JohannesMartin","Ovid - Technologien zum automatisierten Software-Reengineering technologies for automated software-reengineering, in German ","Research Magazine of Johannes Gutenberg Universit t Mainz Special edition trade fairs","6","89"
"JohannesMartin","Leveraging IBM VisualAge for C++ for Reverse Engineering Tasks ","Proceedings of CASCON Toronto","6","90"
"JohannesMartin","Ephedra - A C to Java Migration Environment ","Ph D Dissertation University of Kanada","6","91"
"PDevanbu;Y-FChen;EGansner;HMü¾˜¶˜¼ller","CHIME: Customizable Hyperlink Insertion and Maintenance Engine for Software Engineering Environments ","Proceedings of the International Conference Software Engineering Los Angeles Computer Animation","6","92"
"EmdenRGansner;HausiAM&uuml;ller;PremkumarTDevanbu;Yih-FarnChen","CHIME: Customizable Hyperlink Insertion and Maintenance Engine for Software Engineering Environments ","ICSE International Conference Software Engineering","6","93"
"AnkeGiesl;LudgerMartin","Dynamic Component Program Visualization ","WCRE Working Conference Reverse Engineering","6","94"
"HolgerMKienle;AnkeWeber;JohannesMartin;;HausiAMü¾˜¶˜¼ller","Development and Maintenance of a Web Site for a Bachelor Program ","Proceedings of the th International Workshop Website Evolution","6","95"
"KostasKontogiannis;JohannesMartin;KennyWong;RichardGregory;HausiMü¾˜¶˜¼ller;JohnMylopoulos","Code Migration Through Transformations: An Experience Report ","Proceedings of CASCON Toronto","6","96"
"HausiAM&uuml;ller","C to Java Migration Experiences ","CSMR Conference Software Maintenance and Reengineering","6","97"
"HausiAM&uuml;ller","Strategies for Migration from C to Java ","CSMR Conference Software Maintenance and Reengineering","6","98"
"JohannesMartin;HausiMü¾˜¶˜¼ller","Considerations on the Syntax of a Standard Exchange Format ","Proceedings of the Workshop Standard Exchange Format at the International Conference Software Engineering Limmerick Irland","6","99"
"JohannesMartin;HausiMü¾˜¶˜¼ller","C to Java Migration Experiences ","Proceedings of the th European Conference for Software Maintenance and Reengineering Budapest","6","100"
"AAlzaga","A Design Process Model to Support Concurrent Project Development in Networks of SMES ","PRO VE","7","101"
"GMayor;JoanTorrens","On locally internal monotonic operations ","Fuzzy Sets and Systems","7","102"
"GMayor","Locally Internal Aggregation Functions ","International Journal of Uncertainty Fuzziness and Knowledge Based Systems","7","103"
"GMayor;JoanTorrens;TomasaCalvo","Balanced Discrete Fuzzy Measures ","International Journal of Uncertainty Fuzziness and Knowledge Based Systems","7","104"
"DorritOBillman","Acquiring and Combining Overlapping Concepts ","Machine Learning","8","105"
"","DP : Supervised and Unsupervised Clustering ","ECML European Conference Machine Learning","8","106"
"","Reducing Redundant Learning ","ML","8","107"
"DorritOBillman","Variability Bias and Category Learning ","ML","8","108"
"ArneANilsson;InjongRhee","The incremental deployability of RTT-based congestion avoidance for high speed TCP Internet connections ","SIGMETRICS Measurement and Modeling of Computer Systems","9","109"
"ArneANilsson","On Service Level Agreements for IP Networks ","INFOCOM The Conference Computer Communications","9","110"
"ArneANilsson;InjongRhee","Delay-based congestion avoidance for TCP ","IEEE ACM Trans Netw","9","111"
"ArneANilsson","On End-to-End Congestion Avoidance for TCP/IP ","HPN High Performance Networking","9","112"
